date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
20/11/2011;Israel;Wales;0;2;UEFA Euro qualification;Ness Ziona;Israel;FALSE
20/11/2011;Czech Republic;Armenia;5;0;UEFA Euro qualification;Roudnice nad Labem;Czech Republic;FALSE
23/11/2011;Macedonia;Poland;0;3;UEFA Euro qualification;Prilep;Macedonia;FALSE
23/11/2011;Italy;Greece;2;0;UEFA Euro qualification;Trani;Italy;FALSE
23/11/2011;Turkey;Romania;1;2;UEFA Euro qualification;Izmir;Turkey;FALSE
23/11/2011;Bulgaria;Belgium;0;1;UEFA Euro qualification;Lovech;Bulgaria;FALSE
23/11/2011;Hungary;Northern Ireland;2;2;UEFA Euro qualification;Sopron;Hungary;FALSE
23/11/2011;England;Serbia;2;0;UEFA Euro qualification;Doncaster;England;FALSE
23/11/2011;Denmark;Armenia;11;0;UEFA Euro qualification;Vejle;Denmark;FALSE
24/11/2011;Switzerland;Kazakhstan;8;1;UEFA Euro qualification;Aarau;Switzerland;FALSE
24/11/2011;Spain;Germany;2;2;UEFA Euro qualification;Motril;Spain;FALSE
24/11/2011;Ukraine;Belarus;0;1;UEFA Euro qualification;Sevastopol;Ukraine;FALSE
