date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
06/10/2010;New Zealand;Solomon Islands;8;0;OFC Championship;Auckland;New Zealand;FALSE
06/10/2010;Papua New Guinea;Cook Islands;1;0;OFC Championship;Auckland;New Zealand;TRUE
08/10/2010;Solomon Islands;Cook Islands;0;2;OFC Championship;Auckland;New Zealand;TRUE
08/10/2010;New Zealand;Papua New Guinea;11;0;OFC Championship;Auckland;New Zealand;FALSE
28/10/2010;Costa Rica;Guatemala;1;0;CONCACAF Gold Cup;Cancún;Mexico;TRUE
28/10/2010;United States;Haiti;5;0;CONCACAF Gold Cup;Cancún;Mexico;TRUE
29/10/2010;Trinidad and Tobago;Canada;0;1;CONCACAF Gold Cup;Cancún;Mexico;TRUE
29/10/2010;Mexico;Guyana;7;2;CONCACAF Gold Cup;Cancún;Mexico;FALSE
30/10/2010;Haiti;Costa Rica;0;3;CONCACAF Gold Cup;Cancún;Mexico;TRUE
30/10/2010;United States;Guatemala;9;0;CONCACAF Gold Cup;Cancún;Mexico;TRUE
31/10/2010;South Africa;Tanzania;2;1;African Championship;Daveyton;South Africa;FALSE
31/10/2010;Canada;Guyana;8;0;CONCACAF Gold Cup;Cancún;Mexico;TRUE
31/10/2010;Mexico;Trinidad and Tobago;2;0;CONCACAF Gold Cup;Cancún;Mexico;FALSE
01/11/2010;Guatemala;Haiti;0;1;CONCACAF Gold Cup;Cancún;Mexico;TRUE
01/11/2010;United States;Costa Rica;4;0;CONCACAF Gold Cup;Cancún;Mexico;TRUE
01/11/2010;Nigeria;Mali;5;0;African Championship;Daveyton;South Africa;TRUE
02/11/2010;Guyana;Trinidad and Tobago;1;4;CONCACAF Gold Cup;Cancún;Mexico;TRUE
02/11/2010;Mexico;Canada;0;3;CONCACAF Gold Cup;Cancún;Mexico;FALSE
02/11/2010;Equatorial Guinea;Cameroon;2;2;African Championship;Daveyton;South Africa;TRUE
02/11/2010;Algeria;Ghana;1;2;African Championship;Daveyton;South Africa;TRUE
03/11/2010;Morocco;Senegal;0;1;African Championship qualification;Salé;Morocco;FALSE
03/11/2010;Sierra Leone;Guinea;1;1;African Championship qualification;Freetown;Sierra Leone;FALSE
03/11/2010;Tanzania;Ethiopia;1;1;African Championship qualification;Dar es Salaam;Tanzania;FALSE
04/11/2010;Argentina;Bolivia;3;0;Copa América;Latacunga;Ecuador;TRUE
04/11/2010;Ecuador;Chile;1;2;Copa América;Latacunga;Ecuador;FALSE
04/11/2010;South Africa;Nigeria;1;2;African Championship;Daveyton;South Africa;FALSE
04/11/2010;Mali;Tanzania;3;2;African Championship;Daveyton;South Africa;TRUE
05/11/2010;Paraguay;Colombia;0;3;Copa América;Loja;Ecuador;TRUE
05/11/2010;Brazil;Venezuela;4;0;Copa América;Loja;Ecuador;TRUE
05/11/2010;Canada;Costa Rica;4;0;CONCACAF Gold Cup;Cancún;Mexico;TRUE
05/11/2010;Mexico;United States;2;1;CONCACAF Gold Cup;Cancún;Mexico;FALSE
05/11/2010;Equatorial Guinea;Algeria;1;0;African Championship;Daveyton;South Africa;TRUE
05/11/2010;Ghana;Cameroon;1;2;African Championship;Daveyton;South Africa;TRUE
06/11/2010;Chile;Argentina;1;2;Copa América;Ambato;Ecuador;TRUE
06/11/2010;Ecuador;Peru;2;1;Copa América;Ambato;Ecuador;FALSE
07/11/2010;Venezuela;Paraguay;0;4;Copa América;Loja;Ecuador;TRUE
07/11/2010;Uruguay;Brazil;0;4;Copa América;Loja;Ecuador;TRUE
07/11/2010;South Africa;Mali;4;0;African Championship;Daveyton;South Africa;FALSE
07/11/2010;Tanzania;Nigeria;0;3;African Championship;Tembisa;South Africa;TRUE
08/11/2010;Chile;Bolivia;3;0;Copa América;Riobamba;Ecuador;TRUE
08/11/2010;Argentina;Peru;2;0;Copa América;Riobamba;Ecuador;TRUE
08/11/2010;Costa Rica;United States;0;3;CONCACAF Gold Cup;Cancún;Mexico;TRUE
08/11/2010;Mexico;Canada;0;1;CONCACAF Gold Cup;Cancún;Mexico;FALSE
08/11/2010;Ghana;Equatorial Guinea;1;3;African Championship;Daveyton;South Africa;TRUE
08/11/2010;Cameroon;Algeria;2;1;African Championship;Tembisa;South Africa;TRUE
09/11/2010;Colombia;Venezuela;5;0;Copa América;Azogues;Ecuador;TRUE
09/11/2010;Paraguay;Uruguay;4;0;Copa América;Azogues;Ecuador;TRUE
10/11/2010;Peru;Chile;1;3;Copa América;Ambato;Ecuador;TRUE
10/11/2010;Ecuador;Bolivia;4;3;Copa América;Ambato;Ecuador;FALSE
11/11/2010;Venezuela;Uruguay;5;2;Copa América;Cuenca;Ecuador;TRUE
11/11/2010;Colombia;Brazil;1;2;Copa América;Cuenca;Ecuador;TRUE
11/11/2010;Nigeria;Cameroon;5;1;African Championship;Daveyton;South Africa;TRUE
11/11/2010;South Africa;Equatorial Guinea;1;3;African Championship;Daveyton;South Africa;FALSE
12/11/2010;Bolivia;Peru;2;1;Copa América;Latacunga;Ecuador;TRUE
12/11/2010;Ecuador;Argentina;1;0;Copa América;Latacunga;Ecuador;FALSE
13/11/2010;Uruguay;Colombia;0;8;Copa América;Cuenca;Ecuador;TRUE
13/11/2010;Brazil;Paraguay;3;0;Copa América;Cuenca;Ecuador;TRUE
14/11/2010;South Africa;Cameroon;2;0;African Championship;Daveyton;South Africa;FALSE
14/11/2010;Nigeria;Equatorial Guinea;4;2;African Championship;Daveyton;South Africa;TRUE
17/11/2010;Chile;Colombia;1;1;Copa América;Latacunga;Ecuador;TRUE
17/11/2010;Brazil;Argentina;4;0;Copa América;Latacunga;Ecuador;TRUE
19/11/2010;Chile;Argentina;0;0;Copa América;Latacunga;Ecuador;TRUE
19/11/2010;Brazil;Colombia;5;0;Copa América;Latacunga;Ecuador;TRUE
21/11/2010;Colombia;Argentina;1;0;Copa América;Quito;Ecuador;TRUE
